,uid,sentiment,text,clean_text,predicted,predicted_proba
16559,44972,neutral,Why do I get the feeling that one of my followers here is my first bachpan ki mangetar .  ,get feel one follow first bachpan ki mangetar,neutral,"tensor([0.2307, 0.5374, 0.2319])"
1220,24707,negative,Congress still does not learn that they lost because of Rahul Gandhi only . Jab tak Congress 0 seat nahi ho jayegi ta … https // t . co / 6vpLud81Vs  ,congress still learn lost rahul gandhi jab tak congress seat nahi ho jayegi ta … co vpludv,neutral,"tensor([0.4145, 0.4415, 0.1440])"
2494,4520,neutral,RT @ Vliveofficial BTS WORLD TOUR ' LOVE YOURSELF SPEAK YOURSELF ' Live Streaming in WEMBLEY STADIUM ! FINALLY it's D-DAY !! On 6/1 ( SAT ) 7…  ,vliveoffici bt world tour love speak live stream wembley stadium final dday sat …,neutral,"tensor([0.0913, 0.5681, 0.3406])"
5256,13438,neutral,All of a sudden lyrics of Bhulleya came in my mind 😭❤ Such an underrated song ! ' Dil to hy parinda asmaan ko maa … https // t co / MhB1L20nvP  ,sudden lyric bhulleya came mind 😭❤ underr song dil hy parinda asmaan ko maa … co mhblnvp,neutral,"tensor([0.2347, 0.5457, 0.2196])"
8431,19573,neutral,RT @ OyeeeMishi Eid gift for my boyfriend Note ; tweet Chori ki ha just for fun don ’ t take it serious 😉 https // t . co / DDrOpG4bRK  ,oyeeemishi eid gift boyfriend note tweet chori ki ha fun ’ take seriou 😉 co ddropgbrk,neutral,"tensor([0.2119, 0.5858, 0.2023])"
3264,7509,negative,RT @ Manish94272424 # BEdTET2011 Lakho yuva berojgar ke sath jo vadaa aapne kiya h usko aap kb pura krenge Hmlogo ki jindgi barbad ho gyi h …  ,manish bedtet lakho yuva berojgar ke sath jo vadaa aapn kiya h usko aap kb pura kreng hmlogo ki jindgi barbad ho gyi h …,neutral,"tensor([0.3206, 0.4888, 0.1906])"
10191,23873,neutral,@ vikasbha Aap ke bar bar ish tweet ne kitne maha bhakto aur chelon ko hospital me admit karwa diya hai . mahabhakto k … https // t . co / fl2t85u51A  ,vikasbha aap ke bar bar ish tweet ne kitn maha bhakto aur chelon ko hospit admit karwa diya hai mahabhakto k … co fltua,neutral,"tensor([0.3882, 0.4364, 0.1754])"
13137,31574,neutral,LIGHT AND DARK HARU ARE BACK AND BETTER THAN EVER 🖤 # FruitsBasket # FruitsBasketSpoilers https // t . co / y9lEcNgDRb  ,light dark haru back better ever 🖤 fruitsbasket fruitsbasketspoil co ylecngdrb,neutral,"tensor([0.0377, 0.5311, 0.4312])"
14155,35775,neutral,@ OryaMaqbool _ jan @ AMhuktar Sir ab ye Nara bus Naam ka hi Rahe gaya he Pakistan par ajj bhi qabiz wo hi hein our un … https // t . co / JTpH7J2pyh  ,oryamaqbool jan amhuktar sir ab ye nara bu naam ka hi rahe gaya pakistan par ajj bhi qabiz wo hi hein un … co jtphjpyh,neutral,"tensor([0.2391, 0.5272, 0.2337])"
12150,28495,negative,@ Flipkart Jab sale lagti h tab rakhte hei .. jab khud ka kaam khatam toh human explotation karte hein ..  ,flipkart jab sale lagti h tab rakht hei jab khud ka kaam khatam toh human explot kart hein,neutral,"tensor([0.3301, 0.5991, 0.0708])"
4386,11370,positive,📷 Happy Birthday Rahne Sinclair / Wolfsbane ! https // t . co / ub0CyHlpHE  ,📷 happi birthday rahn sinclair wolfsban co ubcyhlph,neutral,"tensor([0.0165, 0.6461, 0.3373])"
10349,24193,neutral,Logon ki kismat mein toh lutna hi likha hai Ameer gareebon ko lootte hai vyapari grahakon ko lootte hai aur neta … https // t co / iSM1mdiw2e  ,logon ki kismat mein toh lutna hi likha hai ameer gareebon ko loott hai vyapari grahakon ko loott hai aur neta … co ismmdiw,negative,"tensor([0.5793, 0.2989, 0.1218])"
1883,167,negative,@ mjdawar Mohsin DawarTweets daikho aur kuch kha ker mar jao Bayghayrat insanTum aur Ali Wazir harami ho . Pakistan … https // t . co / i9vB0emof3  ,mjdawar mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan … co ivbemof,negative,"tensor([0.7293, 0.1779, 0.0928])"
14135,35699,positive,RT @ pablocarrozza Llevalo al Tottenham de Pochettino a la Isla Maciel y te aseguro que no sale del vestuario ni a reconocer el campo de ju …  ,pablocarrozza llevalo al tottenham de pochettino la isla maciel te aseguro que sale del vestuario ni reconoc el campo de ju …,neutral,"tensor([0.1706, 0.6631, 0.1663])"
13530,33362,positive,@ ArfanPasha2 @ atifthepoet bhi sahib dosroo ka dard jo hota he na wo na to nzr ata he our na hi koi samaj sakta he … https // t co / HLtAMdsGOt  ,arfanpasha atifthepoet bhi sahib dosroo ka dard jo hota na wo na nzr ata na hi koi samaj sakta … co hltamdsgot,neutral,"tensor([0.2644, 0.5048, 0.2308])"
7522,17429,neutral,@ GulBukhari pakistan us ki vajah se toota tha jis ne 81 seats le kar 160 seats lene wale ko laat mar di thee aur vo … https // t . co / bYYQEqlxVU  ,gulbukhari pakistan us ki vajah se toota tha ji ne seat le kar seat lene wale ko laat mar di thee aur vo … co byyqeqlxvu,negative,"tensor([0.5924, 0.2615, 0.1460])"
16148,43506,positive,RT @ DebasreeBJP Humbled by the faith shown upon me by Hon . PM Shri @ narendramodi Ji for giving opportunity to serve in his Council of Mini …  ,debasreebjp humbl faith shown upon hon pm shri narendramodi ji give opportun serv council mini …,positive,"tensor([0.0906, 0.4161, 0.4933])"
6229,15044,positive,@ Jeremy10036 I look forward to his very sincere post in a few days time wishing Eid Mubarak to all Muslims in the U … https // t . co / AIEVghAjse  ,jeremi look forward sincer post day time wish eid mubarak muslim u … co aievghajs,positive,"tensor([0.0280, 0.4498, 0.5223])"
10538,24646,neutral,Ruthe Ko Manane Ki Dua Wazifa Amal Tarika Aur Taweez https // t . co / rlKAFLRV71 via @ YouTube  ,ruth ko manan ki dua wazifa amal tarika aur taweez co rlkaflrv via youtub,neutral,"tensor([0.1129, 0.6607, 0.2264])"
3953,9764,negative,@ MaryamNSharif Ye thi okat tere chor bap ki https // t . co / hMs0uu80tK  ,maryamnsharif ye thi okat tere chor bap ki co hmsuutk,negative,"tensor([0.9196, 0.0514, 0.0290])"
2639,5215,positive,@ narendramodi Many congratulations Modiji . It is our good fortune to have you as our PM once gain . Aasha hai hamara … https // t . co / cqywf2SkFr  ,narendramodi mani congratul modiji good fortun pm gain aasha hai hamara … co cqywfskfr,positive,"tensor([0.0362, 0.2074, 0.7564])"
1468,32069,neutral,Hi Mr Pak PM Aapane bola that ki Modi Jitege to Ham Phatake Bajayage ? Bajaye kya agar Nahi Bajaye to Lagao re … https // t co / D6nqPzE3Ft  ,hi mr pak pm aapan bola ki modi jiteg ham phatak bajayag bajay kya agar nahi bajay lagao … co dnqpzeft,negative,"tensor([0.4243, 0.3522, 0.2236])"
3422,8048,positive,RT @ rootedwithsoul 🌿💜 24 HR FLASH GIVEAWAY 💜🌿 To honor my gratitude for each & every one of you for joining me here & embracing this jour …  ,rootedwithsoul 🌿💜 hr flash giveaway 💜🌿 honor gratitud everi one join embrac jour …,positive,"tensor([0.0177, 0.3037, 0.6787])"
16383,44329,positive,Happy Mood ☺ Weathers - Happy Pills YUNGBLUD - Parents MCR - Teenagers TXT - Blue Orangeade AJR - I'm Ready Shaggy - It W … https // t . co / tgD7g813s3  ,happi mood ☺ weather happi pill yungblud parent mcr teenag txt blue orangead ajr im readi shaggi w … co tgdg,positive,"tensor([0.0524, 0.3679, 0.5797])"
2522,4712,negative,RT @ saadrajpoot _ please apne bachon ko coeducation colleges ma admission dilvaya karen ye university aake yahan ka mahol kharab kardete …  ,saadrajpoot pleas apn bachon ko coeduc colleg admiss dilvaya karen ye univers aak yahan ka mahol kharab kardet …,neutral,"tensor([0.2085, 0.6218, 0.1697])"
958,4729,neutral,RT @ sandy _ DD7 @ YasirMu15207826 @ aaliaaaliya Harane ko tayar ho jao . 11 har koi bhi nahi jitne de raha pak ko . Afghanistan ne bhi practice …  ,sandi dd yasirmu aaliaaaliya haran ko tayar ho jao har koi bhi nahi jitn de raha pak ko afghanistan ne bhi practic …,negative,"tensor([0.3916, 0.3853, 0.2231])"
3333,7741,positive,@ StarSportsIndia we miss the mauka mauka campaign Get it back # indvspak # CWC2019 # maukamauka  ,starsportsindia miss mauka mauka campaign get back indvspak cwc maukamauka,neutral,"tensor([0.1901, 0.6119, 0.1980])"
7368,17134,negative,Ye do kaudi ka feminism apne paas hi rakho . Dulhe ki dulhan hi hota hai na ? ‘ Suraj Ki dulhan ’ nahi likhegi to ky … https // t . co / Oey9YgMRxz  ,ye kaudi ka femin apn paa hi rakho dulh ki dulhan hi hota hai na ‘ suraj ki dulhan ’ nahi likhegi ky … co oeyygmrxz,negative,"tensor([0.6356, 0.2370, 0.1274])"
3090,6859,positive,#ليلة_القدر Dr Tahir ul Qadri ki @ MQIPATsmTeam ko Mubark Bad @ SyedFarazHaxhmi @ IamAtiqq @ TahirulQadri  ,dr tahir ul qadri ki mqipatsmteam ko mubark bad syedfarazhaxhmi iamatiqq tahirulqadri,neutral,"tensor([0.1392, 0.5967, 0.2640])"
6510,15529,positive,Namaskar Modiji Am a proud Gujarati residing in UK who is deeply rooted to India YOU ARE THE BEST FOR INDIA THER … https // t co / IH7AFk0LPk  ,namaskar modiji proud gujarati resid uk deepli root india best india ther … co ihafklpk,positive,"tensor([0.0904, 0.2049, 0.7048])"
11685,27489,neutral,@ AlokTiwari9335 @ er _ mishra Bhai follow back karke apne bhai ko support kijiye jai shiya Ram  ,aloktiwari er mishra bhai follow back kark apn bhai ko support kijiy jai shiya ram,positive,"tensor([0.1112, 0.4069, 0.4818])"
8757,20243,negative,Ho gayi suruat new India ki . Ye nafart yahi nhi rukegi 😔 https // t . co / sm1G7sYHQK  ,ho gayi suruat new india ki ye nafart yahi nhi rukegi 😔 co smgsyhqk,neutral,"tensor([0.4065, 0.4634, 0.1301])"
1140,24344,neutral,@ Akkian _ Beast To logo ko phle smjhna or sunna sikho bcz jruri nhi jo dikh gya wo shi ho hr dm 😒  ,akkian beast logo ko phle smjhna sunna sikho bcz jruri nhi jo dikh gya wo shi ho hr dm 😒,neutral,"tensor([0.3953, 0.4699, 0.1348])"
10922,26007,neutral,@ AudaciousQuest _ Agar BJP ko aane waale dino me tike rahana hai to EC ko aise hi kam karne ki aavashyakta hai 😂😂  ,audaciousquest agar bjp ko aan waal dino tike rahana hai ec ko ais hi kam karn ki aavashyakta hai 😂😂,neutral,"tensor([0.2208, 0.5367, 0.2425])"
1633,36805,negative,@ AcharyaPramodk Loksabha me BJP ko EVM jitaya abhi Jantane harya  ,acharyapramodk loksabha bjp ko evm jitaya abhi jantan harya,neutral,"tensor([0.3392, 0.3976, 0.2632])"
11273,26676,negative,@ amyantivist @ heyannaliah My tounge hurt more too !! I loved the pain of my nips 😂🤪  ,amyantivist heyannaliah toung hurt love pain nip 😂🤪,neutral,"tensor([0.0540, 0.6750, 0.2710])"
10594,24794,negative,@ murgh _ musallam koi jaroorat nahi hai pyaar vyaar ki 😂😂... apna ek bhai ka setting hai vo apne ko 3500 me randi ka … https // t . co / nBcaBUrzRx  ,murgh musallam koi jaroorat nahi hai pyaar vyaar ki 😂😂 apna ek bhai ka set hai vo apn ko randi ka … co nbcaburzrx,negative,"tensor([0.5866, 0.2853, 0.1281])"
11206,26537,positive,@ AugmontGold # AugmontCheer @ AugmontGoldApne Indian Players Karenge ab Kamaal Har Match Jeet Ke Machayge Dhamaal L … https // t . co / RGjhK3hmt0  ,augmontgold augmontch augmontgoldapn indian player kareng ab kamaal har match jeet ke machayg dhamaal l … co rgjhkhmt,negative,"tensor([0.4696, 0.3855, 0.1449])"
820,4054,positive,To my future wife Jahan bhi ho khush raho bohot hi jald milenge . Aunty or uncle ko salam .  ,futur wife jahan bhi ho khush raho bohot hi jald mileng aunti uncl ko salam,positive,"tensor([0.1278, 0.2431, 0.6291])"
881,4328,neutral,RT @ Tweeti _ sweety0 14 saal ki bacchi ke dreams ... jab wo relationship me hoti hai .. 1. Chota sa ghar 2. Paise nhi bas pyaar ho 3. Wo bf nh …  ,tweeti sweeti saal ki bacchi ke dream jab wo relationship hoti hai chota sa ghar pais nhi ba pyaar ho wo bf nh …,neutral,"tensor([0.2310, 0.5626, 0.2064])"
11048,26259,neutral,@ Fozia50301719 @ ImranKhanPTI Tax payer me gharibun ki bat nhi hai ameerun ki hi bat hai jo itni paisa kamate hai or … https // t . co / oYzhBwiKOA  ,fozia imrankhanpti tax payer gharibun ki bat nhi hai ameerun ki hi bat hai jo itni paisa kamat hai … co oyzhbwikoa,negative,"tensor([0.6170, 0.2982, 0.0849])"
2815,5877,negative,@ RPBaranwal1 Beta CBI court ne faisla diya hai NDTV ne nhi Jab jaankari nahin ho to muh se haga mat kro  ,rpbaranw beta cbi court ne faisla diya hai ndtv ne nhi jab jaankari nahin ho muh se haga mat kro,negative,"tensor([0.5097, 0.3974, 0.0929])"
13502,33212,negative,@ lakh _ di _ laanat @ nebla _ G @ His __ love0 @ heartkicker __ @ safa _ lg786 @ Samcasm7 @ jaivi3590 Bsdka sochke nhi bolta bc  ,lakh di laanat nebla g love heartkick safa lg samcasm jaivi bsdka sochk nhi bolta bc,negative,"tensor([0.4083, 0.3400, 0.2517])"
9778,22632,neutral,@ PriyaRa89842300 Jab takk koi sher nahi khda hoga in mugliyo ka baap bnn ke tab tak mandir nahi bnega jo bole usk … https // t . co / lyFBOEOiZJ  ,priyara jab takk koi sher nahi khda hoga mugliyo ka baap bnn ke tab tak mandir nahi bnega jo bole usk … co lyfboeoizj,negative,"tensor([0.4683, 0.3833, 0.1484])"
13527,33348,neutral,@ callme _ yourDad @ aaina _ hun @ ASMAT968 @ ImperfectMuneeb @ MadiiSpree @ moderrnPendu Btaya ha sala unblock nahi kr raha bc  ,callm yourdad aaina hun asmat imperfectmuneeb madiispre moderrnpendu btaya ha sala unblock nahi kr raha bc,neutral,"tensor([0.3354, 0.4791, 0.1855])"
9132,21229,positive,@ actor _ Nikhil wish u happy birthday 🎂 nikhil annnaya https // t . co / RYqRfJTdbC  ,actor nikhil wish u happi birthday 🎂 nikhil annnaya co ryqrfjtdbc,positive,"tensor([0.0078, 0.1776, 0.8146])"
3907,9599,neutral,@ UberEats _ IND how can this be undeliverable ? Distance is not more than 5 mins / 1 . 5km . I have ordered from much more … https // t . co / 3yfYMRNIxa  ,ubereat ind undeliver distanc min km order much … co yfymrnixa,neutral,"tensor([0.0913, 0.6550, 0.2537])"
12810,30258,positive,@ prahladspatel modi mantrimandal may samil honay par badhai narmaday har  ,prahladspatel modi mantrimand may samil honay par badhai narmaday har,positive,"tensor([0.0415, 0.3035, 0.6550])"
12213,28600,negative,@ ArvindKejriwal Bc apne muh se modi G ka naam b mt le 2020 k bad teri kh k lega tune sbki file bnai hai vo t … https // t co / GBELBuJWGp  ,arvindkejriw bc apn muh se modi g ka naam b mt le k bad teri kh k lega tune sbki file bnai hai vo … co gbelbujwgp,negative,"tensor([0.8351, 0.1198, 0.0452])"
6244,15066,positive,500M + views for # Dhanush sir and # SaiPallavi Song # RowdyBaby 💥 In just 6 months ... 👉 https // t . co / 9ApcEHjxJy # 500MViewsForRowdyBaby  ,view dhanush sir saipallavi song rowdybabi 💥 month 👉 co apcehjxji mviewsforrowdybabi,positive,"tensor([0.0054, 0.4252, 0.5694])"
2715,5513,positive,RT @ jiya _ sharma _ # NAKASH _ AZIZ # live _ concert # happy Red fm bajaate raho ! https // t . co / qHelJQIcXg  ,jiya sharma nakash aziz live concert happi red fm bajaat raho co qheljqicxg,negative,"tensor([0.4169, 0.3666, 0.2165])"
2477,4372,positive,RT @ MrKhan33579300 @ ShraddhaKapoor @ sujeethsign @ UV _ Creations @ TSeries @ SaahoOfficial Super Excited @ ShraddhaKapoor Sirf Aapke Liye Jau …  ,mrkhan shraddhakapoor sujeethsign uv creation tseri saahooffici super excit shraddhakapoor sirf aapk liy jau …,neutral,"tensor([0.1372, 0.4735, 0.3894])"
1947,734,neutral,@ ReallySwara Last checked MP me Congress ki Sarkar hai and law and order is a state subject .  ,reallyswara last check mp congress ki sarkar hai law order state subject,negative,"tensor([0.4530, 0.3888, 0.1582])"
4198,10701,neutral,@ Tejasvi _ Surya Modi ji is inspiration for us bt I'm waiting for the day when you will take the oath ☺ it's hist … https // t co / 0GXv1ZyUr6  ,tejasvi surya modi ji inspir us bt im wait day take oath ☺ hist … co gxvzyur,positive,"tensor([0.0516, 0.3013, 0.6472])"
15421,40533,positive,@ RohaNadym Jahan pyaar hota hai wahan itna chalta hai our team also need to understand that this is world cup and w … https // t . co / 8EGYHozb1h  ,rohanadym jahan pyaar hota hai wahan itna chalta hai team also need understand world cup w … co egyhozbh,neutral,"tensor([0.1453, 0.5308, 0.3239])"
14466,36991,positive,🏵️ Good Morning @ Gurmeetramrahim papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa … https // t . co / aKpUltf0RM  ,🏵️ good morn gurmeetramrahim papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa … co akpultfrm,positive,"tensor([0.0015, 0.0965, 0.9020])"
6926,16288,positive,@ kanhaiyakumar hosla tutna nhi chahiyeh bro . Yeh chunau h jang nhi . Ekbar nhi bar bar sahi lad te reho ek din jarur … https // t . co / NnjdTTZKpw  ,kanhaiyakumar hosla tutna nhi chahiyeh bro yeh chunau h jang nhi ekbar nhi bar bar sahi lad te reho ek din jarur … co nnjdttzkpw,negative,"tensor([0.6790, 0.2145, 0.1065])"
5055,13100,positive,@ narendramodi @ PMBhutan Modi ji you are great mai apka bhkat hun apki madad chahiye please meri madad karo sir my contect no . 7408672402  ,narendramodi pmbhutan modi ji great mai apka bhkat hun apki madad chahiy pleas meri madad karo sir contect,positive,"tensor([0.1107, 0.2734, 0.6160])"
3502,8277,positive,RT @ Umedsinghshekh4 @ Gurmeetramrahim ji good night . Aapki kirpa se hi sab kuchh horahe h . dhan dhan satguru tera hi Asra .  ,umedsinghshekh gurmeetramrahim ji good night aapki kirpa se hi sab kuchh horah h dhan dhan satguru tera hi asra,positive,"tensor([0.0049, 0.0989, 0.8962])"
2417,3918,neutral,@ BhadreshGamara @ Sagarika _ das123 @ Saumyakul @ GautamGambhir Bhai hame babri masjid nahi chahiye Aap bna lo raam ma … https // t co / QBW6FHmjAP  ,bhadreshgamara sagarika da saumyakul gautamgambhir bhai hame babri masjid nahi chahiy aap bna lo raam … co qbwfhmjap,negative,"tensor([0.6045, 0.2601, 0.1354])"
10033,23389,neutral,Happy # WorldCup2019 Day to all # CricketKaCrown - Jeetega to @ imVkohli hi 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 https // t co / LOazapElCT  ,happi worldcup day cricketkacrown jeetega imvkohli hi 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 co loazapelct,positive,"tensor([0.2389, 0.2125, 0.5486])"
3952,9757,neutral,@ nishantchat Dallo O Dallo Jhoot ki Dukan Band 😂 😂 😂 https // t co / caaD6GdGoh  ,nishantchat dallo dallo jhoot ki dukan band 😂 😂 😂 co caadgdgoh,negative,"tensor([0.8917, 0.0758, 0.0325])"
1524,33042,neutral,RT @ Haadisays Kal Islamabad se Gujranwala bazareya train sham 5 baje rawana hua gujrat ky qareeb thy ky cabin ky bahir udham sa mehsoos …  ,haadisay kal islamabad se gujranwala bazareya train sham baje rawana hua gujrat ky qareeb thi ky cabin ky bahir udham sa mehsoo …,neutral,"tensor([0.2410, 0.6725, 0.0865])"
2834,5964,neutral,@ jl3ague @ PramodChturvedi @ asadowaisi Asad Bhai always available for his people either you can meet him at his offi … https // t . co / AflbH0gHEe  ,jlagu pramodchturvedi asadowaisi asad bhai alway avail peopl either meet offi … co aflbhghe,neutral,"tensor([0.3284, 0.4931, 0.1785])"
10637,24986,positive,Sukhan aate hain uske yaad bahut Dil ko tha uss se ittehaad bahut Jab bhi chalti hai us taraf se hawaaShor karte h … https // t co / yDVFMYVmgJ  ,sukhan aat hain usk yaad bahut dil ko tha uss se ittehaad bahut jab bhi chalti hai us taraf se hawaashor kart h … co ydvfmyvmgj,positive,"tensor([0.0991, 0.4457, 0.4552])"
1338,30877,positive,@ manrktuan @ nagyeogn So today's Eric girlfriend's special day . Happy birthday @ nagyeogn . May all your wishes come … https // t . co / l2b3kySddm  ,manrktuan nagyeogn today eric girlfriend special day happi birthday nagyeogn may wish come … co lbkysddm,neutral,"tensor([0.0785, 0.5461, 0.3754])"
6035,14705,positive,@ keroropanda @ askmenfess Hooo i see thanks a lot 🙏  ,keroropanda askmenfess hooo see thank lot 🙏,neutral,"tensor([0.0687, 0.5451, 0.3862])"
15751,41839,neutral,@ AkhterH007007 @ BhavikaKapoor5 Agar sabne Congress Ko vote diya toh BJP Ko full majority kaise mili  ,akhterh bhavikakapoor agar sabn congress ko vote diya toh bjp ko full major kais mili,neutral,"tensor([0.3093, 0.4978, 0.1929])"
14241,36126,neutral,@ AbdulRe34694537 @ Zaheer _ engineer @ AajKamranKhan Allama Iqbal nay aik khwab dekha tha Jo Pakistan ke wujood ka sabab bana .  ,abdulr zaheer engin aajkamrankhan allama iqbal nay aik khwab dekha tha jo pakistan ke wujood ka sabab bana,neutral,"tensor([0.1172, 0.6218, 0.2609])"
14909,38619,neutral,Jat bahaio se nivedan h ki wo bjp ko vidahansaba election m vote na de ... Inhone eak ias officer ko bi mantri nhi b … https // t . co / gtspKTJdhn  ,jat bahaio se nivedan h ki wo bjp ko vidahansaba elect vote na de inhon eak ia offic ko bi mantri nhi b … co gtspktjdhn,neutral,"tensor([0.3174, 0.5113, 0.1713])"
10788,25602,neutral,@ Jalebified Thank you so much bigade hue dada ji apake muh mAin laddoo ☺️🌼🙌  ,jalebifi thank much bigad hue dada ji apak muh main laddoo ☺️🌼🙌,positive,"tensor([0.0252, 0.1257, 0.8490])"
12167,28523,positive,S cute U good looking B loves people I loves to laugh n smile Y is loved by everyone A hot Itta pyaar to mer … https // t co / gt9xoMWRcf  ,cute u good look b love peopl love laugh n smile love everyon hot itta pyaar mer … co gtxomwrcf,positive,"tensor([0.0064, 0.1324, 0.8612])"
14912,38635,positive,enjoy with # OTR108 Love Yogya And You ! 3 Instagram @ hardwell Twitter @ hardwellonair Facebook … https // t . co / m2tabJSyLO  ,enjoy otr love yogya instagram hardwel twitter hardwellonair facebook … co mtabjsylo,neutral,"tensor([0.0656, 0.4748, 0.4596])"
16514,44807,positive,RT @ statueofbelief The future is shaping the dreams are coming true . With Tatpadam Upavan coming close to sum up Nathdwara is all the wa …  ,statueofbelief futur shape dream come true tatpadam upavan come close sum nathdwara wa …,neutral,"tensor([0.0954, 0.6081, 0.2964])"
9094,21112,positive,@ phata _ dhol __ my bad * cant be agree more we are way far safer within family marriages at least our parents / ancesto … https // t . co / NspHmVHczw  ,phata dhol bad cant agre way far safer within famili marriag least parent ancesto … co nsphmvhczw,neutral,"tensor([0.2586, 0.5183, 0.2230])"
3969,9809,neutral,@ its _ hema _ I hate all type of parathe's but I don ’ t hate muli ke parathe . ~ Me farting . # oksorry  ,hema hate type parath ’ hate muli ke parath fart oksorri,neutral,"tensor([0.1717, 0.5470, 0.2813])"
10227,23935,neutral,RT @ arifaajakia Mahatir Mohammed does not need protocol topi drama at house of Allah . Does not need to take family extended family & Bil …  ,arifaajakia mahatir moham need protocol topi drama hous allah need take famili extend famili bil …,positive,"tensor([0.2288, 0.3622, 0.4090])"
6321,15193,neutral,RT @ iamafshalishfaq Kabhi Kabhi sochta hai ye dil k sirf ye social media use Karny memes banaye aur enjoy karny Girls k sath batein Karn …  ,iamafshalishfaq kabhi kabhi sochta hai ye dil k sirf ye social media use karni meme banay aur enjoy karni girl k sath batein karn …,neutral,"tensor([0.2118, 0.6112, 0.1770])"
8501,19698,positive,@ RanaAyyub False cases against him were bursted . Jhooth ke paav nahi hote . Your bad karmas shall start revealing … https // t . co / 8Er9rXrP4q  ,ranaayyub fals case burst jhooth ke paav nahi hote bad karma shall start reveal … co errxrpq,neutral,"tensor([0.3742, 0.4567, 0.1692])"
9597,22309,negative,DIGVIJAY SINGH GADAR BATLA RAKSHAK TERE PAS KUTTA HAI TUO TU OOS SE `` BAFADARI `` SIKHLE . KUTTA BHI JIS THALI MEY K … https // t . co / xllwKKona1  ,digvijay singh gadar batla rakshak tere pa kutta hai tuo tu oo se bafadari sikhl kutta bhi ji thali mey k … co xllwkkona,negative,"tensor([0.8140, 0.1193, 0.0668])"
209,1207,neutral,@ VoiceofmyBharat @ geetv79 Opposition parties Iss mamle mai sup kiu hai Sarko se SC tak ki larai kiu nahi kar rahi … https // t . co / 6t9G8toknW  ,voiceofmybharat geetv opposit parti iss maml mai sup kiu hai sarko se sc tak ki larai kiu nahi kar rahi … co tgtoknw,neutral,"tensor([0.3201, 0.4189, 0.2611])"
4484,11752,neutral,Can't wait for chand raat Jab * Mehndi lagy gi mere hath * 😂😂🙈 # EidUlFitr 🌸 # ComingSoon  ,cant wait chand raat jab mehndi lagi gi mere hath 😂😂🙈 eidulfitr 🌸 comingsoon,neutral,"tensor([0.0930, 0.5597, 0.3473])"
921,4524,positive,Congratulations sir @ PMOIndia umeed hai aap anney walley 5 saal mein desh ko greebi se nikalkar trakki ke shikhar … https // t co / 0bjCKXywur  ,congratul sir pmoindia ume hai aap anney walley saal mein desh ko greebi se nikalkar trakki ke shikhar … co bjckxywur,positive,"tensor([0.2195, 0.3274, 0.4531])"
4186,10652,negative,@ dineshyadav1980 @ RubikaLiyaquat @ mlkhattar sale dogle yadav kyu tera bap maulana @ yadavakhilesh ke to lag gaye … https // t co / XbUIE6vJGE  ,dineshyadav rubikaliyaquat mlkhattar sale dogl yadav kyu tera bap maulana yadavakhilesh ke lag gay … co xbuievjg,negative,"tensor([0.7117, 0.2087, 0.0795])"
11697,27511,negative,@ surnell @ Sootradhar @ musman109 @ AmitShah @ narendramodi Uss chutiye ka account abi dikh nahi rh .. Marr gaya h woh on social media  ,surnel sootradhar musman amitshah narendramodi uss chutiy ka account abi dikh nahi rh marr gaya h woh social media,negative,"tensor([0.5996, 0.1986, 0.2018])"
3472,8208,negative,@ fawadchaudhry tum bohut kamey ho jhoot ke dukan . agar tum ko naak main se kuch nekalni ka kaha jae tu bhe tum keht … https // t . co / nsRUgVJnEi  ,fawadchaudhri tum bohut kamey ho jhoot ke dukan agar tum ko naak main se kuch nekalni ka kaha jae tu bhe tum keht … co nsrugvjnei,negative,"tensor([0.6280, 0.2782, 0.0938])"
14814,38238,negative,Kanhaiya jaise Azeem shaqsiyat KE harne KE bad Mai is bat ko mehsoos krrhy hu'n is mulk ki janta Murkh aur bilkul j … https // t . co / kcJS02glLw  ,kanhaiya jais azeem shaqsiyat ke harn ke bad mai bat ko mehsoo krrhi hun mulk ki janta murkh aur bilkul j … co kcjsgllw,negative,"tensor([0.5144, 0.3842, 0.1014])"
12547,29372,positive,RT @ Ishitainsan4 papa has great super duper papa aaj bi dera sacha sauda m sari sangat wasie ki wasie hi aa rhi h koi kise k khne pr ruk n …  ,ishitainsan papa great super duper papa aaj bi dera sacha sauda sari sangat wasi ki wasi hi aa rhi h koi kise k khne pr ruk n …,positive,"tensor([0.0628, 0.3017, 0.6355])"
15737,41803,negative,@ ShirishKunder Kuch bna nhi 👎👎🙂 How to spot a non-vegetarian ? You dont have to . They enjoy killing & eating those killed !  ,shirishkund kuch bna nhi 👎👎🙂 spot nonvegetarian dont enjoy kill eat kill,negative,"tensor([0.6012, 0.2696, 0.1292])"
