uid,text,predicted
17136,Not good for our Mental health naye kale we meet at @ BakigaNation https // t co / 2tT2DpEMXz  ,neutral
4250,@ AwadhBihariPan7 @ realblackstar2 Abe nutanki shangie kutte Diloge BAAJI krne se kuch ni hota Hindustan tere baap ki â€¦ https // t . co / lm9fFntnU5  ,negative
40138,@ muglikar _ Bhau he alias banke BJP join to nahi karegi ?  ,neutral
29492,PM shri narander modi ji ko 2 bara PM banaya jana par sube das washio ko bhot bhot dhanyawad  ,positive
35713,@ MonaAlamm Mona Ji ... Ic Kuty k pily ko itni izat mat do .. Ye @ MaryamNSharif Mariyam ka paid kuta hy .. @ TarekFatah  ,negative
33903,@ asadowaisi Bhaijaan He is praying to Iblees with one eye closed Symbol of Dajjal  ,neutral
41432,Aur ye YUDKBH ke editors ko pure paise nahi dete kya jo aaye din # samaina scenes kaat ke ghar le jaate hai ..ðŸ¤­ shaya â€¦ https // t . co / m9FY9zhFGK  ,negative
41867,RT @ alii _ says @ Being _ cocomo dard e dil ki aah tum na samjho gy kabhi har dil ka matam sar e aam nahi hota  ,neutral
17778,@ ashutosh83B Yah congress ke neta ke chatukaro ka hi sujhao hai jinke dwara chaukidar chor ka nara lagwa kar congre â€¦ https // t co / pTdEyfzd2o  ,negative
18624,@ ArvindKejriwal Therez is page on facebook5saal krjriwalthat page has done most damage to u .. all full of antimodi â€¦ https // t . co / qILhq9kAPe  ,negative
31428,@ Swamy39 Account hack to nahi hoga hai kanhi ??  ,neutral
37432,@ AcharyaPramodk Rahul ko PM isliye nhi banaya uss samay rahul baba k paas sarkar chalane wala dimag nhi tha aur man â€¦ https // t co / 0UP1uTWoyB  ,neutral
9767,@ ShikokiChanda Mmm Chanda see you made me accidentally smile at someone and they smiled back ðŸ˜‚  ,neutral
40069,@ DrKumarVishwas priy har Dil ajeej Kaviraj apse ek madad chahiye ek bahut hi bade mudde par aapse baat karna chahte â€¦ https // t . co / Vz3MYkf9FB  ,positive
6637,a great effort to connect with us ! although it â€™ s been a week i fee like i â€™ ve known y â€™ all for years ! ðŸ¥ºðŸ¥º eek cheesy â€¦ https // t . co / ui1jXkAw6T  ,neutral
30994,@ hussainhaidry Is jese chutyon ka paper ho to 10-15 question modi ke bare me puchh lo ye sale khali chhod ke aa jyenge  ,negative
41952,I want to say Â  Happy Birthday To Youwith all my extremely loud voice ) I hope all your dreams and wishes will come â€¦ https // t co / Uv5aCZhoHR  ,neutral
20976,Tanhaiya to aksar tanha thi tanha ab raat ho gyi Ab to khwabo me bhi nhi aate wo Na jane kaisi ye baat ho gyi https // t co / v4Cz81oQp8  ,neutral
9492,@ faade __ acha ... prr mny kbhi kisi ko ni btaya ... in fact k asha api ko bhi kbhi ni btaya .... tere ko kesy pta chla rey ?ðŸ˜ž  ,negative
19383,@ 011O11 @ ItsSumiyya I don't have any mole or freckle on my wrist . Ya Pata nahi bartan dho dho ker ghissa lia hai . ðŸ˜‚  ,neutral
40164,@ PiyushGoyal sir begumpura express me A 1 ki a . c kharab ho rakhi hai .. Passenger pareshaan hai .. Baccho ka garmi se â€¦ https // t . co / 0YNEe45lby  ,neutral
3784,@ RahulGandhi Rahul ji khushi ki baath hai aapne one month keliye party spokesperson ko tv debate me nahi rehne ka n â€¦ https // t . co / 6rICDnh5DH  ,neutral
658,India voted for - stability - strength - 100% electricity - Ujjwala yojana - DBT - Swachchh Bharat - growth - bette â€¦ https // t . co / 9lYtDM2Xup  ,negative
10623,@ Supriya23bh @ Mayawati ye aap logo ne kya kiya . @ RahulGandhi baba ko hara diya or @ yadavakhilesh ko is Gaatbandha â€¦ https // t . co / NUi4Iy9suP  ,neutral
10421,@ ChouhanShivraj Apko central govt mean koi minister bnaya jaye aisi umeed karta hun Apke pita ji ke liye dukh hua Rip ðŸ˜“  ,neutral
13219,@ LiveWNadiaMirza @ jamaldini _ zeb Kuon kay opposition sawaal nahy kerty sirf bakwas kerty hai ab is ka bhala kia jawab ho  ,neutral
4943,RT @ Kenyans @ mojishortbabaa @ jabidii _ music The winner for the REGGAE / RAGGA SONG OF THE YEAR is CHINA - @ jabidii _ music # GrooveAwards2019 â€¦  ,neutral
25438,@ viswanath _ vis Really appreciate your true spirit sir !! One day he will bring the change we dream ! # JaiJanaSena # JanaSena # PawanKalyan  ,positive
11628,My Great Chairman ke worker se muhbat dekh kar Aaj Sheed Z bhutto or Sheed Rani ke yaad taaza hogae Hum bari Nase â€¦ https // t . co / WsSBkD6xvO  ,neutral
711,@ iamssjangle Hai saala self acclaimed critics joh bc ab humse panga le raha hai .  ,neutral
15670,@ AsliBinLaden They used to say this in our school as well . Also that there is an AATMA in the washrooms ...  ,neutral
3853,ðŸ‘ on @ YouTube Ve Maahi | Kesari | Cute Love Story | Akshay Kumar & Parineeti | Latest Hindi Song | Samarth Swarup https // t . co / gAmSrSoiNy  ,positive
15060,RT @ Zoyaheart786 @ Chandan11276587 Let see unhe tag karte hai free hue toh ajayenge @ PandaJNSCSNZH  ,neutral
14554,@ 2297Khan @ cricketworldcup Fir makeup kiya suit pahnaya aur hero ghar aaya . Tumne ye video dikhakar bilkul sabit â€¦ https // t . co / sitLqFndnn  ,neutral
35867,@ mkd _ mohsin Haaye ðŸ˜â¤ï¸ thankyou soo much for this beautiful edit â¤ï¸  ,positive
13305,AP CM Y S Jagan mahan Reddy @ ysjagan congratulations sir Looking for the great heights of Andhra Pradesh https // t co / eIOTyrphqN  ,positive
29394,RT @ SUSHILP60362237 @ BJP4Delhi @ ManojTiwariMP MODI JI MAI DELHI KA C M BNAA TO SABSE PAHLE P M KEY CHARAN CHOOKER NAMAN KRUNGAA DELHI KE 1â€¦  ,neutral
12557,Ye Raaten Ye Mausam Nadi Ka kinara ...... enjoyed playing this beautiful retro song at a destination wedding in Mumba â€¦ https // t . co / MYDqpDOfgR  ,neutral
31960,@ WeUttarPradesh @ lkopolice @ Uppolice Par ye to batao ki jab gaadi pe no . Likha hai to homeguard jhoot kyun bol raha hai  ,neutral
21998,@ manakgupta Manik Bhai aap log Ko samajhna Hoga Modi ji ko samajhne ke liye Aisa Insaan chahiye Jo Barat kuch Le â€¦ https // t . co / xodP8fohqC  ,neutral
19183,@ AnooshaViews Lagta hai aap bhi IK ki aulad ho .. Sharam karo !! What u give is what u get in life .. Allah duniya me â€¦ https // t . co / 3vIf5eROzG  ,negative
14607,#40 Good things happen to those ....... I Don't know to whom sala kalyug hai yeh . ek to Bhalai ka jamana nahi aur b â€¦ https // t . co / kGMIlZoZbU  ,neutral
24332,I wish hum hota kasam se jo Bilal bol ka wo he kar ka Very good idea bilal ji @ bilalabbas _ khan â€¦ https // t . co / 7wDVTDD8kY  ,positive
31484,@ hamaihe @ AbdulSrkians @ TrickBolly fake news laana bnd kr munnaa warna kl ko ye naa pta chle tera baap bhi fake hi tha ðŸ¤£ðŸ¤£ðŸ¤£  ,negative
36442,Dunya mein 3 tarah ke log hotay hain . 1. I love Cricket 2. I don't like Cricket 3. Mera to 99 World cup ke baad int â€¦ https // t . co / cvHOdlzfO5  ,neutral
29370,Ek baar for modi 2 sarkar banne par sabhi desh wasiyo ko hardik subhkamnaye https // t . co / 7RZFJxhahJ  ,positive
33705,@ kewalroshan @ KapilSharmaK9 @ SonyTV Teri gaand me mera lund saley Sindhi bhadwe ðŸ˜œ teri pichwade ka Pakistan madarcho â€¦ https // t . co / q1mWsVvZ9C  ,negative
41402,@ SayyAdilRas @ ANU140976 @ Shehla _ Rashid @ narendramodi Bhai .... Koi militant nhi bnega .... Sb log saath me pyar aur khushi se rhenge ...  ,positive
22532,@ faizu _ miya @ someshyadav584 Iske jaise mulle hi nafrat ka zahar gholte hain Tum log to hinduon ka panee bhi peena â€¦ https // t co / ZqYScylasH  ,negative
11797,@ Shweta _ NN kuch b ho di hamare desh k log happy han ab jb janta bhukha mrna chahti hai to isme sarkar ki koi galti â€¦ https // t . co / 3NxsobleII  ,neutral
19478,RT @ investindia 1/2- # Socialimpact Jab Bharat Padega Tab India Badhega ! @ investindia continues to touch lives through its Social Impact p â€¦  ,neutral
6149,Act . Ye to @ shoaib100mph ne khud hi marwali hai .. https // t . co / S2nFk4Ej9h  ,neutral
533,RT @ Priya _ PRS How can people not like tinda ? Tinde ka bharwan and juicy ripe mangoes for dinner make summers bearable . https // t . co / oj5GU â€¦  ,neutral
29452,@ SAMBIT _ PATRAg @ sardanarohit Sir ji pur aapki seva bekar nhi jaygi mujhe pure umid h modi ji aapko koi n koi mantri â€¦ https // t co / bKZMmtgi2y  ,neutral
17607,@ aliyahabib5 Kuty wali har lgti mujhe tou zalalat better hoti kuch  ,neutral
29672,RT @ MadhuTr33874906 @ PawanSi08125053 Bhut sundar bhai ðŸ‘ŒðŸ‘ðŸ˜ŠðŸŒ¹ðŸ™ ðŸŒ¹ Good morning Radhe Radhe ðŸŒ¹  ,positive
10965,@_ YogendraYadav Tu saale do koddi k insan .. Voters k collor pakdega ... tu saale tatti dimag me le k gumta h or tujhe â€¦ https // t . co / QPq2B3xSwA  ,negative
41602,@ thejianhaotan Namastey i am from India and i loved ur post with ashish chanchalani pls do a collab plssssssss ðŸ™ðŸ»ðŸ™ðŸ»  ,positive
28983,@ MixedRaita Salim Miyaa Mullah Best you Cross over ðŸ‡µðŸ‡°ðŸ½ðŸ· ðŸ•‹â˜ªï¸ as we are always going to VOTE Right for # PMnonStop Aga â€¦ https // t . co / vIQOmMKzR9  ,positive
34169,Happy Birthday Gopi Sundar !! # gopisundar # HBDGopiSundar # birthday # GopiSundar # HappyBirthday # singer # May30 â€¦ https // t co / bOYWbEy1PO  ,positive
15157,@ TarekFatah Tarek sahab you have brought up very relevant issue . You have great empathy ability to feel for others â€¦ https // t . co / AccQieS13v  ,neutral
3445,@ vibhor _ anand This question is like what is worse ? 1. Gooh 2. Tatti  ,neutral
40194,@ HardikPatel _ kya be chutiye . Bola tha na BJP ko 60 se zyada seat aye to tu jail jayega ? Mard ka baccha hai to apne â€¦ https // t . co / 870dERYvW2  ,negative
43158,@ IrshadBhatti336 Main tu kahta hon k bus jitny b fake political log Hain parda farma jayein inki zarorat nai ab ....  ,neutral
10855,@ iamhamzaabbasi Abhay gadhay IK ki govt jaanay ka keh rahay hain teri Abu ki dictatorship ka nahe keh rahain  ,negative
20931,All in One Super Entertainer Promo - Back to Back Promos # Dhee # DheeJodi # Jabardasth # ExtraJabardasth # PovePora â€¦ https // t . co / ZJ8WmyAkiZ  ,neutral
28635,Jvvnl ke whatsaap number per complaint karne per koi response nahi milta or nahi jvvnl ke help line 18001806045 per â€¦ https // t . co / 1FlwLnTS7s  ,neutral
316,The gamble better pays off coz Moura was Gona tire Van Dijk n his partners # UCLfinal  ,neutral
2562,@ SrBachchan Sir ji ek nazar idhar bhi .......ðŸ™ https // t . co / ImU0AjhFJ6  ,neutral
23646,RT @ arnold48494772 BHARATIYA JANATA PARTY DOES NOT BELIEVE IN HINDU RELIGIONPATRIOTISMINDIAN CONSTITUTION & SECULARISM . BJP DOES NOT F â€¦  ,negative
31997,@ SuperADianNitin @ Samirs _ Style @ Khiladi __ Aditya @ fayazul _ @ itsSamarX _ @ akshaykumar @ ajaydevgn Ye saale chutiye hn 8â€¦ https // t co / NCd8TkvOa7  ,negative
11232,@ 221fireball17 @ jennayyyy210 trust me ... lol ... that is NOT what brings me here ! LOL !!!  ,neutral
11696,@ RailMinIndia @ RailwayNorthern train no 54391 ki power fail ho gyi hai train bahjoi station pr khadi hai tatkal pow â€¦ https // t co / JHUTEi3Pam  ,negative
4163,RT @ cShamik07 # ISupportPriyankaSharma Your time is up @ MamataOfficial Aapka time ab jayega https // t . co / 23Iw1EryNc  ,neutral
12425,RT @ medisisinterna2 @ ndtv Kaanto ka Taaj h Abki Baar Sarkar ... MMS ki kamayi Arthvyavastha ab ho Chuki h Parai .. Bazar k Haath khe ; ne k â€¦  ,neutral
21937,* In exam hall * Me to my friend Bhai scale hai ? He ( Ignores me and said ) Nahi Me Pencil hai ? He Nahi M â€¦ https // t . co / 62naAApIEs  ,neutral
38446,@_ Mansoor _ Ali Got this msg from baji maryam  ,neutral
3595,@ mehaktweet _ @ KapilMishra _ IND @ KailashOnline @ MamataOfficial BC ab jisne bhi Kiya hai bachega nahi budhiya use si â€¦ https // t . co / PylOsVUDlE  ,neutral
43579,@ TejYadav14 A Tejaswi Babu Rajneeti natok gundagardi se chalti Hai Aur na ki Jatt biradari se chalti Hai maidan Mei â€¦ https // t co / E8xWd24rwf  ,neutral
37795,@ sudhirchaudhary Ye Saale desh ke khilaap aur Modi Ji ke khilaap bolne waale kabhi nhi sudhar sakte . Enko Desh ki t â€¦ https // t . co / 6tHNGgpnn4  ,negative
7286,Sir vijay baghel ji ko jeet ki subhkamnaye or latest updates ke liye youtube me nation 1st channel ko subscribe kij â€¦ https // t . co / 7PVHPnacRL  ,positive
22800,@ aartic02 Ye news ka detail toh pta karleti pehle !! Bss bc kuch bhi daalna hai !!  ,negative
38958,@ Devsing30353779 @ baesquets05 Rahi bat is ran @ adi ki iski free me bi na dalu gobar chu @ me nhi dalta me pata nhi kitne le chuki hai ye ðŸ˜‰ðŸ˜‰  ,negative
17202,@ BarackObama _ Tu @ swimpitpatra @ NehShh2 @ niiravmodi @ RubikaLiyaquat Tu to Obama ki chaddi ko hi nahi chhod pa raha h â€¦ https // t . co / LQPrrmaPDa  ,negative
16773,@ sabaatahir @ sona _ c @ SajidahWrites @ KarunaRiazi Wish you were there !  ,neutral
11192,innovator of earth ko kill kr ne ki kosis hui mobile phone laptop sab kuch nast ho gaya EMERGENY POLICE LUCKNOW BHEJO  ,neutral
2952,@ Shugal _ wala 3rd k bad ap ne school chor diyaa tha -_-  ,neutral
34247,@ ShahidK12512 @ ZarfOfficial Madar chod jab fire brigade Ko jala diya tha andolan me tab uske vahi Sidhi vala à¤µà¥à¤¹à¥€à¤•à¤²â€¦ https // t co / xs7BQwwznz  ,neutral
19451,aise bat galat to nahi hai na @ RubikaLiyaquat Ji agar nahi kahi aapne to kahni chahiye https // t . co / xtWgGseZY5  ,neutral
11866,RT @ themukeshjangid So Humanity is Trending No 1 ] Ek Perfect Massage Sare Indians Ke Liye Ki Sabse Pehle Desh Hai Nation First ðŸ™‚ Ni â€¦  ,neutral
11215,@ AankhiGM @ shwetankbhushan She tried to make a joke and it was a very Pakistani one kuch nahi ho toh india ka â€¦ https // t co / boveJH6q4f  ,neutral
18015,RT @ ShankhNaad This proves one thing that there is no One Point Contact or Source in Govt to share information in Media . So mediapersons â€¦  ,neutral
38303,Koi kisi ka vote nhi kat ta kisi party me dam hy bjp ka koi vote katle bjp hindu ke name pe vote mangta baki bhi sa â€¦ https // t . co / h26WxQAvBJ  ,negative
3782,RT @ diksha _____ Dheere dheere se meri zindagi mai aana ..... My current favorite song from # YehRishteyHainPyaarKe It's so soothing n he â€¦  ,neutral
42438,May Allah bless us all with strong imaan taqwa piety a pure heart and good manners . ðŸŒ¹ Ya Allah give me eyes t â€¦ https // t . co / tEPao6LoQb  ,positive
32427,Voting ka adhikar uski ma ne diya tha uske baap ne jo chhin legi . https // t . co / svLO6luPq6  ,negative
31370,@ dhruv _ rathee @ KarunaGopal1 Tujhe kabhi islamist nhi dikhte sale . Tu left ka kutta hai . Tujhe sadhvi pragya dikhti â€¦ https // t . co / 5NzL24hKV1  ,negative
5356,@ arynewsud Remove @ zartajgulwazir she is serving for her family .. apne husband ko job delane k liye bhe ye aurat hath pao mar rahe he  ,negative
43708,@ yuzi _ chahal @ imkuldeep18 @ ImRo45 @ JadhavKedar Chahal bhayi super  ,neutral
44655,@ taimoorze Yai chutia drama band kray aur match pr focus kray  ,neutral
43669,Modi uncle aaj aapki swearing ceremony hai 2 0 Aur mera 3 0 birthday What a coincidence Luv u Modiji â€¦ https // t co / 9j7bhE3k8v  ,neutral
41976,# InspirationOfMillions @ Gurmeetramrahim guru ji ek saint to hai hi magar iss desh ko aage badhne ke liye bhi logo â€¦ https // t co / n6YC16bux6  ,neutral
27582,@ JPNadda Congratulations To Jagat Prakash Nadda Sir For Becoming Union Health Minister Of India . I Wish Him Best of â€¦ https // t . co / hUUyx9kEa6  ,positive
25744,@ IamSaiDharamTej Always thought you had loads of talent . Time bad unde bhayya . Time pattina sare script choosi teesko bro . All the best .  ,neutral
40937,@ hameedsyed981 @ zainabsikander Wse Asaduddin ki kabiliyat par to hume koi doubt nhi h he is a barrister .. lekin unh â€¦ https // t . co / 0SYW8x4mWb  ,neutral
6917,@ sakshijoshii @ TwitterIndia @ verified @ sakshijoshii varied Krane ki chal h teri bc har jagah dimak hi lgati h â€¦ https // t . co / rOCkUN2ksi  ,negative
27060,@ narendramodi hello sir thanks to again come as our best pm i hope ki aap kuch hamari madad karnge hm bs karj se ma â€¦ https // t . co / QaFH10apRJ  ,positive
25623,Pak VS west Hum shirminda Hai Pak team ki jo buri halat uska zamdar Imran Khan ki galat policy aur interfair karna â€¦ https // t . co / 20Abbhus8m  ,negative
7896,You know you love me XOXO gossip Han and Shan  ,neutral
44997,@ sardesairajdeep @ AmitShah so the economy of a great country is now termed as Dhandha  ,negative
17458,Some people on social media are Thekedar of RW ideology They issue certificate who is RW and who is not Bhagwan bachaye aise logo se  ,negative
41591,@ Uhhh __ Anthony She eating so much food when she should be eating my di - nvm my bad  ,neutral
12926,Hum bole to kisiko nahi sunna tha Ab unke log hi bol rahe hai Congress ki arrogance unko bhari padi Ab bhuka â€¦ https // t co / XuKKZlP2KZ  ,negative
28275,RT @ KingSRK _ 14 @ Akkikafan5 Self troller bhikhari @ Akkikafan5 Ye dekh m @@ darch @ d SRK ne Tax bharke Teri maiyya ch @ d di Ab tu dikha ki Ma â€¦  ,negative
28031,@ ernesto50826228 @ JFCuevasVila @ Flopi _ Jackson _ @ SebastianSsmw @ Artilleria _ 7777 @ Gonzalo98050470 @ SoniaSHernandez â€¦ https // t co / hpAGAqXEz2  ,neutral
30935,RT @ angshguds SoWe Did It Again . Congratulations # India Congratulations @ narendramodi Ji Congratulations @ AmitShah Ji Congratulations â€¦  ,positive
6488,@ WarsiSony Sale gosh ka to pta kr lete h mgr kabhi kisi n ye pta nhi 40 kase mre haram khor h sale sb kuch musalman â€¦ https // t co / x1RYRumB1D  ,negative
42492,@ mian _ hanjra @ SadiaKhan99 @ fawadchaudhry Hahahaha chalein yeh bhi dekh lein ke di thi yah nahi . ðŸ˜‚ðŸ˜‚ Btw us ne apne â€¦ https // t . co / dZPqq87wOr  ,negative
22503,@ hvgoenka In India logo ko baithne ki jagah nahi milti library kaha kholenge wo bhi public transport me  ,negative
11960,@ dekhane _ mukul @ DilliDurAst Ch .... ya hai marne do . Sale sare dalle blue tick lagwake baite hai BC  ,negative
4625,I love going on dates w my boo ðŸ¥°  ,positive
26085,@ salmanuniv @ BeingSalmanClub @ BeingSalmanKhan Follow Back Celeb Sir Bhaijaan Nhi Diye Ap Hi Kar Do Na  ,positive
13336,RT @ Kashmirology Aaj yaad toh bohat aarahi hogi hamari ? https // t . co / t47etbG9mU  ,neutral
215,@ BBhuttoZardari Try as hard as you can but you are going to jail at the end . You can't save yourselfAbba and phopho .  ,negative
3338,@ NazoNazish Alhamdulilah mai to nahi hon .. And perfume bht han bas kabhe perfume ki advertisement nahi bna .. ðŸ˜›  ,neutral
20510,@ Vineetbhargava9 Are koi ni @ ImranKhanPTI apne yaha se terrorist to bhej hi sakte hi  ,negative
24203,Kichad uchal rahi ho .... Kabhi khud ki sarkar se bolo ki kiya kre ... Pakistan se ja kr na bole ki modi ko hatane â€¦ https // t . co / JCH0ujWrig  ,negative
31010,@ aamir00112 @ Aishash73318835 @ majorgauravarya @ IAF _ MCC Tum anpadh pakistanio ko nahi samaj ayega ðŸ˜‚  ,negative
26926,@ rssurjewala kahan ho be khujliwala .... sorry to say that but I m very angry with congress .  ,negative
19581,RT @ KiraakSalmaniac Allways @ BeingSalmanKhan BHAIJAAN ðŸ’ªðŸ™Œâ™¥ï¸ # PaidMediaCantHarmSALMAN # kirraak https // t co / Ijq9QN07kx  ,positive
21262,@ callme _ yourDad @ Joker _ 24k @ superspy90s @ captainforever4 @ nooobmaster69 _ @ Syedees @ SaibKaskar tujy toh sister joke se fursat nahi khusree  ,negative
38053,@ smritiirani Bilkul sahi kaha aapne Jis tarah haar ke baad bhi aapne kaam karna nahi choda ye darshata hai ki Ka â€¦ https // t co / DhI8EBkAm3  ,positive
20245,@ awais _ hun @ TayyabaRizwan6 Tharak nai hai Raab ki banai mahluk ki tarif hai ðŸ˜‚ ðŸ˜‚  ,neutral
21942,@ SirPareshRawal @ spek _ abt _ bharat Sir ji i m coping it to post in Facebook  ,neutral
20973,RT @ Surbhijyoti _ Naz Bela aap nahi janna chahenge me ne yesa kyun kiya .. ( when mahir was trying to kiss her bela stopped him with her hand â€¦  ,neutral
24165,@ Jack _ Anisto @ Vineetbhargava9 @ rssurjewala Media vaalo ko hi hoti hai congress ki itni chinta Rafale Jai shah vy â€¦ https // t co / v27rTqtKWM  ,negative
14233,RT @ Mano _ Meow99 @ FayyazShots Mujhy uska nam ni yad .......... han lekin sab usko Ú†ÙˆØ± bolty ðŸ‘»ðŸ‘»ðŸ‘»  ,neutral
12005,Great win ....# NamoAgain People of India unterstands who is capable of PM Desh ab trakki ki rah pe a a gya hai .... Ha â€¦ https // t . co / j0fTnCqrQR  ,neutral
4387,@ MohanBhagwat _ @ narendramodi @ AmitShah Lekin ab koi bhi aur jagah Ka Mandir masjid Mudda ab mat uthvayiyga .... Jo h â€¦ https // t . co / gG9VplhNEx  ,neutral
7921,Bc kuch time mein internet pe hansney ko bhi koi drama bana denge loug . Omg look at her she was laughing . How can she ?  ,neutral
11819,RT @ Nimra _ Khan241 Look at this sexy thing ðŸ˜­ðŸ˜ðŸ”¥ Wajih Taseer aka Bilal Abbas ! # BilalAbbasOnJeetoPakistan @ bilalabbas _ khan https // t . co / zaps4 â€¦  ,neutral
6870,@ PMOIndia Modi ji Bahut Bahut shubhkamanaye .. Fur se aapke sarkar banane par . Hum parents logo ko aapse bahut aadha â€¦ https // t . co / bDDIWO4gDp  ,positive
37684,@ TalatHussain12 Let him defend himself infront of SJC Tu sala lgda ain BC  ,negative
10484,@ imVkohli hi virat . Best luck for wc 2019. We hope once again cup bring home . 1 request for national anthem . Agar r â€¦ https // t . co / XVCJ0abTJX  ,neutral
20392,@ vikasbha Vikas ji ! Itni bhi undbhakti theek ni h . Fake video viral kr k apni image ko gober se bekar bana li . Ap h â€¦ https // t . co / aq7krPLluf  ,negative
509,@ ianuragthakur @ narendramodi Anurag ji aapko bhot bhot badhai aur subhkamnaye .. Keep it up .. We are proud of you ..  ,positive
36734,@ PMOIndia @ narendramodi Aaj Ek Bar Fir Se Modi Ji Ne Desh Ki Raksha Aur Uski Akhandta Ko Banaye Rakhne K Liye Sapa â€¦ https // t co / 2AM9brohWz  ,neutral
1945,@ pankhuripathak @ INCIndia Media hi thi jo is government ko wapis le aayi Media agar fair hoti to ye government ja chuki thi  ,neutral
20862,@ itx _ halloween Soo beautiful Indians jal rhay hain dhek ke  ,negative
42444,@ terrydgraham Thand you endlessly ! I â€™ ll give it a try ! Thank you SOOooo much again ! ðŸ˜Š  ,neutral
11581,@ Im _ a _ Dedo We already know you are  ,neutral
35773,@ Rabipirzada What a great msg ALLAH ap ko hamesha khush rakain salut hai ap ki sooch ko kassh hum sb ap jesy sooch paty .  ,positive
32834,it's fans morale ! What a WC national anthem fan b Pretty much got it on repeat . Fingers crossed for Team India . Cup â€¦ https // t . co / AJrelZ0jpQ  ,neutral
37116,I found this awesome recording of Aawaz deke hamein tum bulao on # Smule https // t co / KJrPnDl0WV  ,negative
10101,@ BBhuttoZardari @ BakhtawarBZ Kutta papa ka Hisab dey Aur bohnk mat mota Gaddar https // t co / uatfC1Xs7D  ,negative
16152,Congress decided not to send spokespersons on TV debates And bhakt media journos rattled Why ??? Arre We are n â€¦ https // t co / FHoh2FFA8N  ,negative
10433,RT @ shubhamgarg414 @ rssurjewala @ INCIndia Ab Congress ke pas bolne ko rah hi kya gya h jo kisi spokesperson ko bheje debate k liye Muh ch â€¦  ,negative
22966,* she breakup hurts the most .. * me kabhi Maa ko taklif me dekha hai .. # verypainful ðŸ˜”  ,neutral
9336,Congress ke useless spokesperson to jobless ho jaayenge if Congress decides to boycott media for longer period  ,negative
30317,RT @ WhoSunilGrover Shaadi Kab Karni Hai ? # BharatThisEid -Â  https // t . co / e4gjQ586We @ Bharat _ TheFilm Â @ BeingSalmanKhan @ aliabbaszafar @ atulre â€¦  ,neutral
25482,@ siasatpk Kutay ka bacha even its disgraceful to the kutah to compare him to the loyal creature  ,neutral
2742,@ HardikChauhan36 Tum jaise mindset ke log kabhi bootlicking ka aadat Kyoin nahi chodate . Congress to dub rahi hai a â€¦ https // t . co / nEjlx25fGN  ,negative
4929,@ RahulGandhi Desh aazad ho gaya hai par Congressi ab tak Gandhi pariwar ka gulami karna nahi bhoole . Jo mahila bin â€¦ https // t . co / Ly1Ee54oZc  ,negative
27264,@ CestMoiz Q No . 3 is not bad either . Genuine concern about the product name being displayed on the packaging . Log kya kahenge ! ðŸ˜ðŸ˜ðŸ˜  ,neutral
11190,RT @ Indian _ Dharti JAISE @ MukulR _ Official CRIMINAL LOGON KO LE AAYA THA @ AITCofficial ME WAISE HI @ BJP4Bengal ME LE AAYEGA AUR PARTY KO BAD â€¦  ,neutral
41792,@ News18UP Ye to hoga hi sub chor h sarkar badli karmchari to vhi h  ,negative
2784,* Tu Baki Ldkio ki trh extra bf Kyu nahi bnati * Me https // t co / fq2tQwMhaK  ,negative
15652,Just wanna take a moment and breath without stressing the fuck out . Exams mein stress exams ke baad result ka stre â€¦ https // t . co / fKytgUQU92  ,neutral
18917,@ emNikhil @ Shanice3195 Bhai kabhi odisha bhi ake dekho It's a very lovely place !  ,neutral
41051,@ rssurjewala Chutiye Insaan sudharja pappu ka chatna bund kar aur apna koi dusra bandobast karke rakh le . A â€¦ https // t . co / 311gwoark2  ,negative
3518,Sir @ narendramodi ji the best MOS is Pratab Sarangi ji His hard work under poverty rewarded him Pls provide â€¦ https // t co / MmPtDl2FFg  ,positive
2479,@ romildubey Worth reading they were all the excerpts you got ab to padhna padega Nice share  ,neutral
14132,@ SyedTabishHuss1 @ BakhtawarBZ Ye koi siasi thereek nahi balkay inke chor leader ko investigation k liye bulaya hay â€¦ https // t co / mWSPyyWfgt  ,negative
26433,@ PC _ Sarangi ji can't imagine a better choice than a living saint Partap Chand Sarangi to be included in Modiji ' s â€¦ https // t . co / vzyN9FYQUe  ,neutral
24366,@ KapilSharmaK9 @ BeingSalmanKhan @ SonyTV Bhai jaan is always super se uper Hit ..  ,neutral
18372,Par jitega to Aus hi ðŸ˜‚ RT @ IMSahilBhalla This is going to be a very interesting # CWC19 Afghanistan beat Pakistan â€¦ https // t co / xVZV2TfeLw  ,neutral
35355,Atut . V . Pavitra sombandh . Karya . Viswas . Nirnay ye sabhi Ram ban v janhitkari hote hai . Bahut Bahut Bhadhayiyan Sh â€¦ https // t . co / 2dtmQZcN3I  ,neutral
21398,@ fawadchaudhry @ sardarzadasahib Fawad ch tum apnay andar ka bugz aur kina nikaal lo ulama k khelaf logo ko chand pe â€¦ https // t . co / C4IdCkrUGm  ,negative
11394,RT @ rohitjswl01 No ... # KabirSingh is not a family film it is made for Youth Class 6 se leke 35 saal ke age tak Jinka naya naya dil to â€¦  ,neutral
18798,@ Veekkaskanojia I love watching her nautanki . ðŸ˜ðŸ˜‚ðŸ¤£ # BiggBossMarathi2  ,positive
8566,Besharmo ap log pehly rozay na raknay ki wajha sy england ka daora rakha taky rozay na rakhay . @ Shame on you pak team  ,neutral
