,uid,text,clean_text,predicted,predicted_proba
535,15554,Turn off the News Turn on some Music You'll feel much Better Thanks to everyone who rides Namaste Friends I love you all .  ,turn news turn music youll feel much better thank everyon ride namast friend love,positive,"tensor([0.0452, 0.3550, 0.5998])"
536,35856,Pmji pranam sr ji desh ko eshbar eshi bulndi dikeeye ki desh se gareebi ka jo kalnak laga hai khatm ho jay tabhi sa â€¦ https // t . co / 0y4pAC4kUD  ,pmji pranam sr ji desh ko eshbar eshi bulndi dikeey ki desh se gareebi ka jo kalnak laga hai khatm ho jay tabhi sa â€¦ co ypackud,positive,"tensor([0.3213, 0.3003, 0.3784])"
537,31917,Kahdo dushmno se ki jra smbhl jay mere watan ki serhad pe dehshat na felay kyonki Modi ji ka tufan fir se uthega â€¦ https // t co / BekVdAkg8I  ,kahdo dushmno se ki jra smbhl jay mere watan ki serhad pe dehshat na felay kyonki modi ji ka tufan fir se uthega â€¦ co bekvdakgi,negative,"tensor([0.4552, 0.3640, 0.1809])"
538,31595,@ asli _ sunidhi @ Liyakat _ Dayar18 O t20 tha usme aapko jaldi run banane parte he ye odi he yaha pe propper time le sak â€¦ https // t . co / tm6PEtBPdf  ,asli sunidhi liyakat dayar tha usm aapko jaldi run banan part ye odi yaha pe propper time le sak â€¦ co tmpetbpdf,neutral,"tensor([0.3405, 0.4680, 0.1915])"
539,21804,why do people compare their favorites best period with SRK's worst .... himmat hai ... toh compare best with best ... wor â€¦ https // t . co / 8wYthEwLx6  ,peopl compar favorit best period srk worst himmat hai toh compar best best wor â€¦ co wythewlx,neutral,"tensor([0.2603, 0.4056, 0.3341])"
540,9702,Jeetu bhai nailed your role in Kota factory the 21 days habit trick was the best part â¤ï¸. # tvf # kotafactory # theviralfever  ,jeetu bhai nail role kota factori day habit trick best part â¤ï¸ tvf kotafactori theviralfev,neutral,"tensor([0.0599, 0.5151, 0.4250])"
541,11181,@ The _ Indic @ Ankit _ 13 _ @ Khoso57 @ theworldindex Saar O saar Aapse na ho payega ðŸ¤ª  ,indic ankit khoso theworldindex saar saar aaps na ho payega ðÿ¤ª,negative,"tensor([0.3808, 0.3723, 0.2469])"
542,20415,@ SunitiChoudhar4 @ Aryavrta Love Jihad Dharmantaran to khule aam ho raha hai ... Fir kyu Hinduo ke har tyohar pr ap â€¦ https // t . co / veszoy6dCZ  ,sunitichoudhar aryavrta love jihad dharmantaran khule aam ho raha hai fir kyu hinduo ke har tyohar pr ap â€¦ co veszoydcz,positive,"tensor([0.2259, 0.3447, 0.4294])"
543,11210,RT @ AsiaShah9 @ SanaAhmer786 @ SanaSayemRao True Skardu hai he jannat khubsurt logo ki khubsurt sarzameen hamari proud to be GBian  ,asiashah sanaahm sanasayemrao true skardu hai jannat khubsurt logo ki khubsurt sarzameen hamari proud gbian,positive,"tensor([0.0695, 0.2170, 0.7135])"
544,31353,@ PanjabiAp @ siddiquiamana @ RaghibMohammadi Ek hote hai chutiya ek hote hai maha chutiya abe musalman 100% khate h â€¦ https // t co / 0YZ8Y9SGHK  ,panjabiap siddiquiamana raghibmohammadi ek hote hai chutiya ek hote hai maha chutiya abe musalman khate h â€¦ co yzysghk,negative,"tensor([0.7377, 0.1505, 0.1117])"
545,25821,@ OmerIbis _ @ Itani No he is just asking for a friend  ,omeribi itani ask friend,positive,"tensor([0.0526, 0.4310, 0.5163])"
546,19887,@ Mumtaz _ AajTak @ narendramodi @ MPPoliceOnline @ amipiyu @ OfficeOfKNath They are not bhakt .. They are bloody criminals ..  ,mumtaz aajtak narendramodi mppoliceonlin amipiyu officeofknath bhakt bloodi crimin,negative,"tensor([0.6777, 0.1790, 0.1434])"
547,16302,@ victor _ kaan Even Tie Domi is a pretty nice guy off of the ice  ,victor kaan even tie domi pretti nice guy ice,neutral,"tensor([0.1098, 0.5989, 0.2913])"
548,20926,RT @ onetiponehand _ Ek hi nara Ek hi naam Jai Shri ram Jai Shri ram Deal with it ! https // t . co / zgMvqF2DHX  ,onetiponehand ek hi nara ek hi naam jai shri ram jai shri ram deal co zgmvqfdhx,positive,"tensor([0.1093, 0.4035, 0.4871])"
549,7407,@ PMOIndia @ narendramodi Humko @ ImranKhanPTI sahab ko yeh bataana hoga k wo # PTM ko goliyo k dam par khatam nahi ka â€¦ https // t . co / I6PbjLMFRD  ,pmoindia narendramodi humko imrankhanpti sahab ko yeh bataana hoga k wo ptm ko goliyo k dam par khatam nahi ka â€¦ co ipbjlmfrd,neutral,"tensor([0.2983, 0.5522, 0.1494])"
550,21361,Size naapney ka shoq hi bohat hai dr . Saheba ko . Awaeen nahi mard in k paas khaas tor pe ilaaj karaney jatey . Mai â€¦ https // t . co / fQs6iUzdrH  ,size naapney ka shoq hi bohat hai dr saheba ko awaeen nahi mard k paa khaa tor pe ilaaj karaney jatey mai â€¦ co fqsiuzdrh,neutral,"tensor([0.3386, 0.4742, 0.1872])"
551,15264,092137244 - omg a very nice mami ;'( super touched ako when you were giving me compliments on my dancing tysm i don â€¦ https // t . co / vncRc00DC8  ,omg nice mami super touch ako give compliment danc tysm â€¦ co vncrcdc,positive,"tensor([0.0953, 0.4364, 0.4684])"
552,27821,RT @ the _ sashiks # OathCeremony Modi Main Narendra Damodardas Modi ishwar ki shapath leke kehta hoon ki desh Kejriwal Main apne bac â€¦  ,sashik oathceremoni modi main narendra damodarda modi ishwar ki shapath leke kehta hoon ki desh kejriw main apn bac â€¦,neutral,"tensor([0.2177, 0.4588, 0.3236])"
553,10339,@ sardanarohit Haa ab tumhri dukan jo band ho jayegi .. hadkaoge kisko .. bjp khud apne pravakta nhi bhejti jo channel â€¦ https // t . co / K8k8FSxhbC  ,sardanarohit haa ab tumhri dukan jo band ho jayegi hadkaog kisko bjp khud apn pravakta nhi bhejti jo channel â€¦ co kkfsxhbc,negative,"tensor([0.5904, 0.3095, 0.1001])"
554,11747,@ Krick3r Pakistan team ki kal phir maa chudi jaayege AAP bhi aana Nottingham me ðŸ¤£ðŸ˜‚  ,krickr pakistan team ki kal phir maa chudi jaayeg aap bhi aana nottingham ðÿ¤£ðÿ˜‚,negative,"tensor([0.6209, 0.2147, 0.1644])"
555,19396,@ PoojaShali Jisee Journalism karna vo dekhlo ðŸ˜‚ it is not that easy ALL THE BEST mam shikanji piloo  ,poojashali jise journal karna vo dekhlo ðÿ˜‚ easi best mam shikanji piloo,neutral,"tensor([0.2876, 0.3732, 0.3393])"
556,34237,@ TejYadav14 @ RahulGandhi Uwa ganjedi aur charsi nahi hona chahiey . Waisey tera baap arey burbak wahi chara chor La â€¦ https // t . co / hxf3ZIKDG5  ,tejyadav rahulgandhi uwa ganjedi aur charsi nahi hona chahiey waisey tera baap arey burbak wahi chara chor la â€¦ co hxfzikdg,negative,"tensor([0.6627, 0.2421, 0.0951])"
557,12542,Kya hai yesab pakistan ka video dikhake india ka naam kyu kharab kar rahe ho https // t . co / t0iFDnlyI9  ,kya hai yesab pakistan ka video dikhak india ka naam kyu kharab kar rahe ho co tifdnlyi,negative,"tensor([0.5378, 0.3952, 0.0670])"
558,20356,@ mundrarameshwar @ LambaAlka Jo satta me nahi they wo shaitaani karte they . Wohi riots karvate they logo ko marvate â€¦ https // t . co / SJRufrrJSf  ,mundrarameshwar lambaalka jo satta nahi wo shaitaani kart wohi riot karvat logo ko marvat â€¦ co sjrufrrjsf,neutral,"tensor([0.1865, 0.4658, 0.3476])"
559,33049,@ ZeeNewsHindi Maintenance kon Dega Metro or Bus ki ye or iski party Barbad karke rahega Delhi ko Chor or kuch Nah â€¦ https // t . co / 4znpvIqwdt  ,zeenewshindi mainten kon dega metro bu ki ye iski parti barbad kark rahega delhi ko chor kuch nah â€¦ co znpviqwdt,negative,"tensor([0.5712, 0.3294, 0.0995])"
560,38921,@ gauravkapur @ SDhawan25 @ ImRo45 @ OaktreeSport What an episode !!! Loved it @ gauravkapur ðŸ‘ And d best part was th â€¦ https // t . co / FGDBWVPWTN  ,gauravkapur sdhawan imro oaktreesport episod love gauravkapur ðÿ‘ best part th â€¦ co fgdbwvpwtn,positive,"tensor([0.3316, 0.3311, 0.3373])"
561,7367,@ Prateek _ Bhomia Atalji ki vjah se e ye # Ayodhya wala raita faila hua hm .. kaante saaf krke jameen samtal krne ki ba â€¦ https // t . co / iH5wapS8dB  ,prateek bhomia atalji ki vjah se e ye ayodhya wala raita faila hua hm kaant saaf krke jameen samtal krne ki ba â€¦ co ihwapsdb,neutral,"tensor([0.3982, 0.4078, 0.1940])"
562,334,RT @ BillionTwiTs Going through the COZA & Timi Dakolo tweets you'll realise how appallingly religiously naive the Nigerian mind is . A man â€¦  ,billiontwit go coza timi dakolo tweet youll realis appallingli religi naiv nigerian mind man â€¦,neutral,"tensor([0.2017, 0.5962, 0.2022])"
563,25032,@ SouravS12633477 What they meant to say is tu chutiya hai bsdk hmesha beizzati krata hai ðŸ˜‚ðŸ˜‚ðŸ˜‚  ,sourav meant say tu chutiya hai bsdk hmesha beizzati krata hai ðÿ˜‚ðÿ˜‚ðÿ˜‚,negative,"tensor([0.7534, 0.1781, 0.0685])"
564,22230,@ Warforchange Anti Indian .. teri maa kaa bhosda .. lawde ki aulaad ... kis gashti ka ganda khoon hai tu suar ne thoki â€¦ https // t . co / VinGZ892FS  ,warforchang anti indian teri maa kaa bhosda lawd ki aulaad ki gashti ka ganda khoon hai tu suar ne thoki â€¦ co vingzf,negative,"tensor([0.9612, 0.0245, 0.0143])"
565,10577,@ trulygaleej @ massakkalli @ RogerisGod @ chilluvandu @ ajaw _ @ ChiniZyaada Present is no fun . I'm happy doing time travel .  ,trulygaleej massakk rogerisgod chilluvandu ajaw chinizyaada present fun im happi time travel,neutral,"tensor([0.0769, 0.5656, 0.3576])"
566,44577,RT @ ShrutiRedFm # Lucknow walo aao miltey hain aaj sham 5 se 9 sun motorsfaizabad roadindira nagar metro station ke paas . @ HeroMotoCorp â€¦  ,shrutiredfm lucknow walo aao miltey hain aaj sham se sun motorsfaizabad roadindira nagar metro station ke paa heromotocorp â€¦,neutral,"tensor([0.2919, 0.4515, 0.2566])"
567,40006,@ Manpree01007223 @ HR _ Mania17 @ Rangoli _ A LO hadh hai yaar HRithik ke fan ko to likhna bi nhi aata hai  ,manpre hr mania rangoli lo hadh hai yaar hrithik ke fan ko likhna bi nhi aata hai,neutral,"tensor([0.3525, 0.4206, 0.2270])"
568,23662,@ KGF _ Singh hamare pass inn sb ko chalane ke liye remote h ðŸ˜‚ðŸ˜‚  ,kgf singh hamar pass inn sb ko chalan ke liy remot h ðÿ˜‚ðÿ˜‚,negative,"tensor([0.4903, 0.3506, 0.1591])"
569,16863,This means so much ! Your love ! Your support ! Thankyou so much for loving me abundantly . # Blessed ðŸ™ðŸ»ðŸ™ðŸ» https // t . co / Ad1c14eicq  ,mean much love support thankyou much love abundantli bless ðÿ™ðÿ»ðÿ™ðÿ» co adceicq,positive,"tensor([0.0325, 0.2199, 0.7475])"
570,40894,@ KumarKunalmedia Ch **** is banaya hai logo ka Even used it as a ledder  ,kumarkunalmedia ch banaya hai logo ka even use ledder,neutral,"tensor([0.3787, 0.5055, 0.1158])"
571,488,Shame on you Anjana om Kashyap Kanhaiya Kumar 3lakhs vote basil Kiya Lekin tumne to 30 words bhi governt ke against bolne ki himmat nahi hai  ,shame anjana om kashyap kanhaiya kumar lakh vote basil kiya lekin tumn word bhi governt ke boln ki himmat nahi hai,neutral,"tensor([0.3932, 0.4008, 0.2060])"
572,39787,Oooh my goodness that giggle . I love it and the confidence that riding has brought them . # barrelracing â€¦ https // t . co / sFf6e05Y49  ,oooh good giggl love confid ride brought barrelrac â€¦ co sffey,positive,"tensor([0.1056, 0.4301, 0.4643])"
573,20723,Kia Khyal hai Apka ? https // t co / Vjg5YQ4S5z  ,kia khyal hai apka co vjgyqsz,neutral,"tensor([0.0551, 0.8750, 0.0699])"
574,9695,@ NishantJain1111 @ my _ rajasthan @ incredibleindia Jai jinendra nishant bhiya  ,nishantjain rajasthan incredibleindia jai jinendra nishant bhiya,negative,"tensor([0.3976, 0.3637, 0.2387])"
575,22686,@ msisodia Are handsome sudhar ja .. abhi dilli ka chunav bacha hai .. kitne bhi public ke paise uda le education ke jho â€¦ https // t . co / HvhYDUfXgv  ,msisodia handsom sudhar ja abhi dilli ka chunav bacha hai kitn bhi public ke pais uda le educ ke jho â€¦ co hvhydufxgv,negative,"tensor([0.6889, 0.1955, 0.1156])"
576,39443,@ sinchan21029371 @ SincereSayar @_ dilwala _ Aukaat hai Kya Saale ki ?ðŸ˜‚ðŸ˜‚ðŸ˜‚ Kahin ceremony mein canadian aam le ata to ðŸ˜‚ðŸ‡¨ðŸ‡¦  ,sinchan sinceresayar dilwala aukaat hai kya saal ki ðÿ˜‚ðÿ˜‚ðÿ˜‚ kahin ceremoni mein canadian aam le ata ðÿ˜‚ðÿ‡¨ðÿ‡¦,negative,"tensor([0.4461, 0.3699, 0.1840])"
577,25735,Kal se bhaut losse motion k case aa rahe lagata hai Modi ko doobara PM baante hajaam nahi ho raaha hai @ BJP4India  ,kal se bhaut loss motion k case aa rahe lagata hai modi ko doobara pm baant hajaam nahi ho raaha hai bjpindia,negative,"tensor([0.6567, 0.2227, 0.1206])"
578,13706,@ MamataOfficial JAI SHRI RAM Bhagwan thum he sadbuddi De have complete Bhakti day with Prabhu Shri Ram  ,mamataoffici jai shri ram bhagwan thum sadbuddi de complet bhakti day prabhu shri ram,positive,"tensor([0.1159, 0.2848, 0.5994])"
579,11176,Ab to baccho ne bhi majak banana suru kar diya ðŸ¤£ðŸ¤£ðŸ¤£ mamta di https // t . co / K9rEzve3Xj  ,ab baccho ne bhi majak banana suru kar diya ðÿ¤£ðÿ¤£ðÿ¤£ mamta di co krezvexj,negative,"tensor([0.6342, 0.2772, 0.0885])"
580,15765,@ Sawan0808 @ SabkaaKatega @ siddh _ artha _ @ SANKI ___ Teri behen ki maa ka bhosda or teri maa ki beti ki chut . Nikal bho â€¦ https // t . co / p1JhCBhJ5C  ,sawan sabkaakatega siddh artha sanki teri behen ki maa ka bhosda teri maa ki beti ki chut nikal bho â€¦ co pjhcbhjc,negative,"tensor([0.9844, 0.0083, 0.0073])"
581,12844,@ SilverShades _ @ TrueIndologyliv Ye kya majak chal raha hai twitter ka kal hi to unlocked hua tha acc aaj phir suspend . Wtf ðŸ˜¡ðŸ˜¡  ,silvershad trueindologyliv ye kya majak chal raha hai twitter ka kal hi unlock hua tha acc aaj phir suspend wtf ðÿ˜¡ðÿ˜¡,neutral,"tensor([0.2810, 0.5183, 0.2007])"
582,30518,RT @ WahiduddinKhan The best dua to make this Lailatul Qadr # SpiritOfRamadan https // t . co / rJHY2ThGcV  ,wahiduddinkhan best dua make lailatul qadr spiritoframadan co rjhythgcv,positive,"tensor([0.0988, 0.3512, 0.5500])"
583,39417,RT @ yupptv Inke hulchul se hota hai screen par hungama aur performance par inki bolta hain Oh My God zamaana !ðŸ˜ðŸ˜ As # Bollywood's iconic â€¦  ,yupptv ink hulchul se hota hai screen par hungama aur perform par inki bolta hain oh god zamaana ðÿ˜ðÿ˜ bollywood icon â€¦,neutral,"tensor([0.2931, 0.4362, 0.2707])"
584,5377,@ godofhumour1 Ye land mark nahi black mark hai Delhi ki history mein ðŸ˜‘ Ram bharose hai Delhi iss waqt agar stateh â€¦ https // t co / Tt2fD4du0i  ,godofhumour ye land mark nahi black mark hai delhi ki histori mein ðÿ˜‘ ram bharos hai delhi iss waqt agar stateh â€¦ co ttfddui,negative,"tensor([0.3828, 0.3634, 0.2538])"
585,42909,Vidhata sri narendra modi ji pm ban jate hai to koi apj abdul kalam ban jate hai . Bharat ka pesident to koee akele â€¦ https // t . co / tdN13kjLwu  ,vidhata sri narendra modi ji pm ban jate hai koi apj abdul kalam ban jate hai bharat ka pesid koee akel â€¦ co tdnkjlwu,neutral,"tensor([0.3183, 0.3433, 0.3384])"
586,23414,@ sneakerfiles @ zSneakerHeadz Yoooo I don â€™ t like Jordan 4s for the most part but these are cleannnnnn  ,sneakerfil zsneakerheadz yoooo â€™ like jordan part cleannnnnn,neutral,"tensor([0.1112, 0.5096, 0.3792])"
587,44213,Ye kya pagalpan hSTF ne pakda h to paper STF kyu out kregii Ye sale nikamme loog khud to bhrasht hai hi ek aur gov â€¦ https // t . co / dKbVm0tdsU  ,ye kya pagalpan hstf ne pakda h paper stf kyu kregii ye sale nikamm loog khud bhrasht hai hi ek aur gov â€¦ co dkbvmtdsu,negative,"tensor([0.6928, 0.2321, 0.0750])"
588,39871,@ nusratyaha Ye dekho bjp it cell ka chakka ghaghra uthakar naach rha hai koi Marlo re mc ðŸ˜‚ðŸ˜‚ðŸ˜‚  ,nusratyaha ye dekho bjp cell ka chakka ghaghra uthakar naach rha hai koi marlo mc ðÿ˜‚ðÿ˜‚ðÿ˜‚,negative,"tensor([0.7182, 0.2114, 0.0704])"
589,21570,@ ColorsTV @ deepikasingh150 @ namik _ paul @ vinrana1986 @ SurbhiJtweets @ pearlvpuri @ Thearjunbijlani @ Roymouni @ justvoot â€¦ https // t . co / FliVnffwHj  ,colorstv deepikasingh namik paul vinrana surbhijtweet pearlvpuri thearjunbijlani roymouni justvoot â€¦ co flivnffwhj,neutral,"tensor([0.1106, 0.4750, 0.4145])"
590,32529,@ GautamGambhir Modi ji ki wajh se yeh jit mili hai yeh sapne me bhi mat bhuliyega . Warna atishi ne apki mar lene ki â€¦ https // t . co / TCOzQXYobG  ,gautamgambhir modi ji ki wajh se yeh jit mili hai yeh sapn bhi mat bhuliyega warna atishi ne apki mar lene ki â€¦ co tcozqxyobg,negative,"tensor([0.4619, 0.3395, 0.1986])"
591,39540,@ PMOIndia congratulations mere traf se aap ko apke sv mp ko aur puri india k janta ko bhut2 bdhai ho mai ek indi â€¦ https // t . co / OLtP8vTT6k  ,pmoindia congratul mere traf se aap ko apk sv mp ko aur puri india k janta ko bhut bdhai ho mai ek indi â€¦ co oltpvttk,positive,"tensor([0.1433, 0.3015, 0.5552])"
592,24249,Happy Birthday @ geminismart2 ðŸ°ðŸŽˆðŸŽðŸŽ‰ May God bless u n give u all d happiness which u dsrv ðŸ¤—ðŸ˜‡ Stay happy ðŸ™‚ Stay blessed â€¦ https // t . co / hn9CmtWTJe  ,happi birthday geminismart ðÿ°ðÿžˆðÿžðÿž‰ may god bless u n give u happi u dsrv ðÿ¤—ðÿ˜‡ stay happi ðÿ™‚ stay bless â€¦ co hncmtwtje,positive,"tensor([0.0618, 0.2904, 0.6479])"
593,31661,Aap jsise Kamjor Aur lachar logo ke liye Modi ji / Amit ji jaroor kuch yojana lyenge aap fikra na kare kisiko marn â€¦ https // t . co / o9rGdXSj43  ,aap jsise kamjor aur lachar logo ke liy modi ji amit ji jaroor kuch yojana lyeng aap fikra na kare kisiko marn â€¦ co orgdxsj,neutral,"tensor([0.2137, 0.5238, 0.2625])"
594,29941,@ komal44337466 Modi ji hi karenge sab durso ko 55 saal mile Sabar karo sabar ka fal hamesha mitha hota hai mand â€¦ https // t co / xqS8h1hMoQ  ,komal modi ji hi kareng sab durso ko saal mile sabar karo sabar ka fal hamesha mitha hota hai mand â€¦ co xqshhmoq,positive,"tensor([0.2162, 0.3164, 0.4674])"
595,5940,@ madhvi31525029 @ SrBachchan I'm so sad and very very bad news . Bohat dukh laga or man udas ho gya . Plz bhagwan un s â€¦ https // t . co / UOXWZrjhwX  ,madhvi srbachchan im sad bad news bohat dukh laga man uda ho gya plz bhagwan un â€¦ co uoxwzrjhwx,positive,"tensor([0.1105, 0.4303, 0.4592])"
596,3380,@ pcsarangi @ Ramlal @ BJP4India @ KirenRijiju @ BJP4Odisha Badhai ji  ,pcsarangi ramlal bjpindia kirenrijiju bjpodisha badhai ji,neutral,"tensor([0.2883, 0.4014, 0.3103])"
597,34077,@ BBCUrdu @ 19SAhsanRaza Tum to bohot tezi dikhao ge is news ko nashr karne main tum log to chahte ho pakistan ke id â€¦ https // t . co / cpBGWrx0ED  ,bbcurdu sahsanraza tum bohot tezi dikhao ge news ko nashr karn main tum log chaht ho pakistan ke id â€¦ co cpbgwrxed,negative,"tensor([0.6229, 0.2349, 0.1422])"
598,11271,ShumaliWaziristan Boya Me Fauj Ki Gari Pr Firing Or Bomb Hamla26 Sala Sipahi Amil Shah Shaheed 1 Mah K Duran 5 Jawan Shaheed31ZakhmiISPR  ,shumaliwaziristan boya fauj ki gari pr fire bomb hamla sala sipahi amil shah shahe mah k duran jawan shaheedzakhmiispr,positive,"tensor([0.2968, 0.1866, 0.5165])"
599,27274,RT @ Maignanamurthy @ sindhan @ cpmkanagaraj Sitaram Yechury -66 yrs Prakash Karat -71 yrs S . Ramachandran Pillai-81 yrs Biman Bose-78 yrs Ma â€¦  ,maignanamurthi sindhan cpmkanagaraj sitaram yechuri yr prakash karat yr ramachandran pillai yr biman bose yr â€¦,neutral,"tensor([0.1116, 0.6862, 0.2022])"
600,37260,Saale ko pataa chal gayaa hogaa ki bachungaa nahi police ke Fande se https // t . co / ingyqE71NK  ,saal ko pataa chal gayaa hogaa ki bachungaa nahi polic ke fand se co ingyqenk,neutral,"tensor([0.4173, 0.5034, 0.0793])"
601,41325,@ atyant _ clueless @ ballisticleo Mere pass 10 k 100 sikke Hain . tera much ti khud nhi pehchan payega Agar maar du to . Incredible India .  ,atyant clueless ballisticleo mere pass k sikk hain tera much ti khud nhi pehchan payega agar maar du incred india,negative,"tensor([0.5588, 0.2332, 0.2080])"
602,12524,@ sakhtarmengal Fouji kutta ko ab konsa hadee dikaya jaraha a jo itna bonk raha a shame on u sarfarz u people don't know politics  ,sakhtarmeng fouji kutta ko ab konsa hade dikaya jaraha jo itna bonk raha shame u sarfarz u peopl dont know polit,negative,"tensor([0.7160, 0.1930, 0.0910])"
603,10856,RT @ Sangydass1 @ KescoKanpur Aj din bher se Kaushalpuri me lght ka bahut crisis h Kya problem hui h kripya bataye to 50 @ per saber karna s â€¦  ,sangydass kescokanpur aj din bher se kaushalpuri lght ka bahut crisi h kya problem hui h kripya batay per saber karna â€¦,neutral,"tensor([0.1944, 0.6488, 0.1568])"
604,9526,@ VikasThakur42 @ Sea _ wave24 @ unofficialgopi @ Sun _ shine _ glows @ Meme _ Bnane _ Wala @ Oyye _ Kamine @ YamHainHam â€¦ https // t co / vXTbr2N7GD  ,vikasthakur sea wave unofficialgopi sun shine glow meme bnane wala oyy kamin yamhainham â€¦ co vxtbrngd,neutral,"tensor([0.1506, 0.4924, 0.3570])"
605,42127,@ SHABAZGIL @ SHABAZGIL muqadma ni chye bs us bndy ko is sy sare aam maafi mangni ho gi agy is police officer ka fasila maaf kre ya badla ly  ,shabazgil shabazgil muqadma ni chye bs us bndi ko sy sare aam maafi mangni ho gi agi polic offic ka fasila maaf kre ya badla ly,negative,"tensor([0.5630, 0.3281, 0.1089])"
606,13997,@ kapilverma73 @ Chatterj1Asking Ye dekh teri maa ko kaise tum hi log kachre ki gadi me Lejake lawaris fek dete hai â€¦ https // t co / EWytHVo8Aj  ,kapilverma chatterjask ye dekh teri maa ko kais tum hi log kachr ki gadi lejak lawari fek dete hai â€¦ co ewythvoaj,negative,"tensor([0.8711, 0.0809, 0.0480])"
607,11114,@ divya _ noronha @ AllIndiaBakchod ðŸ˜‚ðŸ˜‚ðŸ˜‚ achhe video ðŸ˜‚ðŸ˜‚ agar kisi ko gali Dena aaur kisi ka majak udana achcha he to fir â€¦ https // t co / n5v69B7tML  ,divya noronha allindiabakchod ðÿ˜‚ðÿ˜‚ðÿ˜‚ achh video ðÿ˜‚ðÿ˜‚ agar kisi ko gali dena aaur kisi ka majak udana achcha fir â€¦ co nvbtml,negative,"tensor([0.4873, 0.3502, 0.1625])"
608,34253,@ RJAadhi Yesterday only i saw mariyan ... Dhanush is best actor in the town ...  ,rjaadhi yesterday saw mariyan dhanush best actor town,neutral,"tensor([0.0129, 0.5008, 0.4863])"
609,9400,Wishing the bestest birthday to bachpan waala pyaar . @ ActorMadhavan watched you first time in Sea hawks and tabse â€¦ https // t . co / H6Ya04fWeR  ,wish bestest birthday bachpan waala pyaar actormadhavan watch first time sea hawk tabs â€¦ co hyafwer,positive,"tensor([0.0147, 0.3454, 0.6399])"
610,32968,@ narendramodi Congratulations Modi ji desh ko apki jarurat h ummid hain aap rss ke kuch galat faislo pr support nhi kroge hana dosto  ,narendramodi congratul modi ji desh ko apki jarurat h ummid hain aap rss ke kuch galat faislo pr support nhi kroge hana dosto,positive,"tensor([0.1865, 0.2422, 0.5713])"
611,25659,@ yadavrahulmonu1 @ Engihumor @ hrshpr @ WBPolice @ KolkataPolice Koi Nahi Roka Tum BJP wala Yahi Chahate ho Ki Durga Pu â€¦ https // t . co / hyTrqUgvMe  ,yadavrahulmonu engihumor hrshpr wbpolic kolkatapolic koi nahi roka tum bjp wala yahi chahat ho ki durga pu â€¦ co hytrqugvm,negative,"tensor([0.5394, 0.2720, 0.1885])"
612,26893,@ shivanshis4 Par it takes guts to show up . Dil Jeet Liya aaj wahan present rehkar  ,shivanshi par take gut show dil jeet liya aaj wahan present rehkar,neutral,"tensor([0.1032, 0.5784, 0.3184])"
613,13897,@ AnkitLal @ mssirsa Sunane main to yeh bhi aya hai BJP trolls are fired until 2023 Kaphi kharcha ho gya Nahi ?  ,ankitl mssirsa sunan main yeh bhi aya hai bjp troll fire kaphi kharcha ho gya nahi,neutral,"tensor([0.2034, 0.6933, 0.1033])"
614,23982,RT @ evanswrth JAKE CALLED HEMSWORTH A WALKING SMOKE SHOW HE REALLY SAID WHAT WE WERE ALL THINKING https // t co / 2noIjYiiqA  ,evanswrth jake call hemswoh walk smoke show realli said think co noijyiiqa,neutral,"tensor([0.0917, 0.6378, 0.2705])"
615,38235,@ MaryamNSharif aameen sum ameen Thank u so much from my side too you are bestest aapi of the world cant explai â€¦ https // t co / NMFJczPtNV  ,maryamnsharif aameen sum ameen thank u much side bestest aapi world cant explai â€¦ co nmfjczptnv,positive,"tensor([0.0050, 0.0817, 0.9133])"
616,42820,@ MehulChoradia @ SourabhJainIET @ ArvindKejriwal @ Shalupcrf @ PreetiSMenon @ msisodia @ kumarshashwat97 @ SanjayAzadSln â€¦ https // t . co / KtmXtiIGzP  ,mehulchoradia sourabhjainiet arvindkejriw shalupcrf preetismenon msisodia kumarshashwat sanjayazadsln â€¦ co ktmxtiigzp,neutral,"tensor([0.3256, 0.4599, 0.2145])"
617,20829,@ narendramodi ji aap nay kaha minority per horaha bhaye eak chale yani dekhawa hai modi ji aap ko nazar nahi aaraha â€¦ https // t co / qViN0GwPbm  ,narendramodi ji aap nay kaha minor per horaha bhay eak chale yani dekhawa hai modi ji aap ko nazar nahi aaraha â€¦ co qvingwpbm,neutral,"tensor([0.0939, 0.5025, 0.4036])"
618,11769,@ rssurjewala @ INCIndia It is good when every time your spokesperson says same thing humaare Rahul ji ye woh dikkana makkahna maa ki aakh  ,rssurjewala incindia good everi time spokesperson say thing humaar rahul ji ye woh dikkana makkahna maa ki aakh,negative,"tensor([0.4857, 0.2747, 0.2395])"
619,774,@ INCEr _ anurag Ye saale sub ke dukan band karwa do They are the biggest deshdrohi of India  ,incer anurag ye saal sub ke dukan band karwa biggest deshdrohi india,negative,"tensor([0.5617, 0.2458, 0.1925])"
620,42616,@ PMOIndia @ rsprasad @ narendramodi You are anathor precious jewel of Gujarat soil . Koti koti pranam . Bharat Mata ki Jai .  ,pmoindia rsprasad narendramodi anathor preciou jewel gujarat soil koti koti pranam bharat mata ki jai,positive,"tensor([0.1119, 0.3052, 0.5829])"
621,23150,@ sagarikaghose Debate karne ke liye kuch baccha hi nahi but goose aunty is on run  ,sagarikaghos debat karn ke liy kuch baccha hi nahi goos aunti run,neutral,"tensor([0.2324, 0.5746, 0.1930])"
